MarketEvaluationPoint_mRID;ValidFrom;ValidTo;MeterReadingPeriodicity;MeteringMethod;MeteringGridArea_Domain_mRID;ConnectionState;EnergySupplier_MarketParticipant_mRID;BalanceResponsibleParty_MarketParticipant_mRID;InMeteringGridArea_Domain_mRID;OutMeteringGridArea_Domain_mRID;Parent_Domain_mRID;ServiceCategory_Kind;MarketEvaluationPointType;SettlementMethod;QuantityMeasurementUnit_Name;Product;Technology;OutMeteringGridArea_Domain_Owner_mRID;InMeteringGridArea_Domain_Owner_mRID;Meta
571313180000000005;2020-01-01T00:00Z;2020-01-11T00:00Z;PT1H;D01;800;D03;NULL;NULL;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP connection state new
571313180000000005;2020-01-11T00:00Z;2020-11-15T00:00Z;PT1H;D01;800;E22;8100000000108;8100000000207;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP, connection state connected, supplier A
571313180000000005;2020-11-15T00:00Z;NULL;PT1H;D01;800;E22;8100000000115;8100000000214;NULL;NULL;NULL;FALSE;E17;D01;KWH;8716867000030 ;NULL;NULL;NULL;Flex MP, connection state connected, supplier B
571313180000000012;2020-01-01T00:00Z;2020-01-11T00:00Z;PT1H;D01;800;D03;NULL;NULL;NULL;NULL;NULL;FALSE;E17;E02;KWH;8716867000030 ;NULL;NULL;NULL;Non-profiled MP, connection state new
571313180000000012;2020-01-11T00:00Z;2020-11-15T00:00Z;PT1H;D01;800;E22;8100000000108;8100000000207;NULL;NULL;NULL;FALSE;E17;E02;KWH;8716867000030 ;NULL;NULL;NULL;Non-profiled MP, connection state connected, supplier A
571313180000000012;2020-11-15T00:00Z;NULL;PT1H;D01;800;E22;8100000000115;8100000000214;NULL;NULL;NULL;FALSE;E17;E02;KWH;8716867000030 ;NULL;NULL;NULL;Non-profiled MP, connection state connected, supplier B
571313180000000029;2020-01-01T00:00Z;2020-01-11T00:00Z;PT1H;D01;800;D03;NULL;NULL;NULL;NULL;NULL;FALSE;E18;NULL;KWH;8716867000030 ;D11;NULL;NULL;Production MP, hourly, connection state new
571313180000000029;2020-01-11T00:00Z;2020-11-15T00:00Z;PT1H;D01;800;E22;8100000000108;8100000000207;NULL;NULL;NULL;FALSE;E18;NULL;KWH;8716867000030 ;D11;NULL;NULL;Production MP, hourly, connection state connected, supplier A
571313180000000029;2020-11-15T00:00Z;NULL;PT1H;D01;800;E22;8100000000115;8100000000214;NULL;NULL;NULL;FALSE;E18;NULL;KWH;8716867000030 ;D11;NULL;NULL;Production MP, hourly, connection state connected, supplier B
571313180000000036;2020-01-01T00:00Z;2020-01-11T00:00Z;PT15M;D01;800;D03;NULL;NULL;NULL;NULL;NULL;FALSE;E18;NULL;KWH;8716867000030 ;D11;NULL;NULL;Production MP, 15min, connection state new
571313180000000036;2020-01-11T00:00Z;2020-11-15T00:00Z;PT15M;D01;800;E22;8100000000108;8100000000207;NULL;NULL;NULL;FALSE;E18;NULL;KWH;8716867000030 ;D11;NULL;NULL;Production MP, 15min, connection state connected, supplier A
571313180000000036;2020-11-15T00:00Z;NULL;PT15M;D01;800;E22;8100000000115;8100000000214;NULL;NULL;NULL;FALSE;E18;NULL;KWH;8716867000030 ;D11;NULL;NULL;Production MP, 15min, connection state connected, supplier B
571313180000000043;2020-01-01T00:00Z;2020-12-01T00:00Z;PT1H;D02;800;D03;NULL;NULL;NULL;NULL;NULL;FALSE;E18;NULL;KWH;8716867000030 ;D11;NULL;NULL;Production MP, hourly, connection state new
571313180000000043;2020-12-01T00:00Z;NULL;PT1H;D01;800;D02;NULL;NULL;NULL;NULL;NULL;FALSE;E18;NULL;KWH;8716867000030 ;D11;NULL;NULL;Production MP, hourly, connection state closed down
571313180000000050;2020-01-01T00:00Z;2020-01-02T00:00Z;PT1H;D01;800;D03;NULL;NULL;800;801;NULL;FALSE;E20;NULL;KWH;8716867000030 ;NULL;8100000000009;8100000000016;Exchange MP, hourly, connection state new, out-grid not owned
571313180000000050;2020-01-02T00:00Z;NULL;PT1H;D01;800;E22;NULL;NULL;800;801;NULL;FALSE;E20;NULL;KWH;8716867000030 ;NULL;8100000000009;8100000000016;Exchange MP, hourly, connection state connected, out-grid not owned
571313180000000067;2020-01-01T00:00Z;2020-01-02T00:00Z;PT15M;D01;800;D03;NULL;NULL;801;800;NULL;FALSE;E20;NULL;KWH;8716867000030 ;NULL;8100000000016;8100000000009;Exchange MP, 15min, connection state new, in-grid not owned
571313180000000067;2020-01-02T00:00Z;NULL;PT15M;D01;800;E22;NULL;NULL;801;800;NULL;FALSE;E20;NULL;KWH;8716867000030 ;NULL;8100000000016;8100000000009;Exchange MP, 15min, connection state connected, in-grid not owned
571313180000000074;2020-01-01T00:00Z;2020-01-02T00:00Z;PT15M;D01;800;D03;NULL;NULL;802;803;NULL;FALSE;E20;NULL;KWH;8716867000030 ;NULL;8100000000023;8100000000030;Exchange MP, parent, 15min, connection state new, both in- and out-grid not owned
571313180000000074;2020-01-02T00:00Z;NULL;PT15M;D01;800;E22;NULL;NULL;802;803;NULL;FALSE;E20;NULL;KWH;8716867000030 ;NULL;8100000000023;8100000000030;Exchange MP, parent, 15min, connection state connected, both in- and out-grid not owned
