GridArea;Type_Of_MP;Physical_Status;Settlement_Method;Count
003;E18;E22;;1
003;E17;E22;D01;1
003;E17;E22;E02;10
003;E17;E22;E02;2
003;E18;E22;;1
003;E17;E22;E01;1
003;E18;E22;;8
003;E17;E22;E02;2
003;E18;E22;;2
003;D01;D02;;2
003;D01;E22;;1
003;D02;D02;;2
003;D02;D02;;153
003;D02;D03;;1
003;D02;E22;;104
003;D02;E23;;2
003;E17;D02;E01;2
003;E17;D02;E02;4
003;E18;D02;;1
003;E18;D02;;3
003;E20;D02;;32
003;E20;E22;;28
007;E18;E22;;1
007;E17;E22;D01;1
007;E17;E22;E01;1
007;E18;E22;;5
007;E17;E22;E02;3
007;E18;D03;;3
007;E17;E22;E02;1
007;E18;E22;;1
007;D02;D02;;1
007;D02;D02;;2
007;D02;D03;;1
007;D02;E22;;5
007;D02;E22;;2
007;E17;D02;E02;1
007;E18;D02;;8
007;E20;D02;;3
007;E20;E22;;10
007;E20;E22;;2
031;E17;D03;D01;1
031;E17;E22;D01;261
031;E17;E22;D01;3
031;E17;E22;D01;4
031;E17;E22;E02;20
031;E17;E22;E02;1
031;E17;E22;D01;21
031;E17;E22;E01;9
031;E17;E22;D01;1
031;E17;E22;D01;117
031;E17;E22;D01;1
031;E17;E22;E02;52
031;E17;E22;E02;2
031;E17;D03;D01;3
031;E17;E22;D01;1511
031;E17;E22;D01;2
031;E17;E22;D01;2
031;E17;E22;E02;335
031;E17;E22;E02;13
031;E17;E22;E02;1
031;E18;E22;;75
031;E18;E22;;2
031;E17;D03;D01;3
031;E17;E22;D01;869
031;E17;E22;D01;23
031;E17;E22;D01;28
031;E17;E22;E01;2
031;E17;E22;E02;34
031;E17;E22;E02;1
031;E17;E22;E02;5
031;E18;E22;;196
031;E18;E22;;6
031;E17;E22;D01;93
031;E17;E22;E02;38
031;E17;E22;E02;4
031;E17;E22;D01;4
031;E17;D03;D01;4
031;E17;E22;D01;2157
031;E17;E22;D01;4
031;E17;E22;D01;23
031;E17;E22;E01;5
031;E17;E22;E02;61
031;E17;E22;E02;3
031;E17;E22;E02;12
031;E17;E22;D01;9
031;E17;D03;D01;1
031;E17;E22;D01;170
031;E17;E22;D01;1
031;E17;E22;D01;1
031;E17;E22;E02;9
031;E17;D03;D01;98
031;E17;E22;D01;69770
031;E17;E22;D01;3
031;E17;E22;D01;107
031;E17;E22;D01;1
